03.07.2018;Лапида́рность;NULL;от лат. lapidarium — «высеченный в камне»;<p>краткость, сжатость, лаконичность, ясность и выразительность слога или стиля.</p><p>Эти качества были присущи надписям, высеченным на древнеримских каменных памятниках. Умение выразительно, кратко, чётко и полно излагать мысли — неотъемлемое качество ораторского искусства. Основополагающее требование к стилю и слогу энциклопедической статьи.</p>;NULL
04.07.2018;Карт-бла́нш;NULL;NULL;<p>полная свобода действий, неограниченные полномочия, предоставленные какому-либо лицу (например, <i>главному тренеру сборной выдали карт-бланш на формирование команды</i>).</p><p>Изначально карт-бланш — это чистый бланк, подписанный лицом, предоставляющим другому лицу право заполнить его текстом по своему усмотрению.</p>;NULL
05.07.2018;Веганство;NULL;NULL;<p>наиболее строгая форма вегетарианства, максимально исключающая использование продуктов, связанных с эксплуатацией и убийством животных. Последователей веганства называют веганами.</p><p>Веганы исключают из своего рациона все продукты животного происхождения, включая мясо, рыбу, яйца, животное молоко (кроме грудного человеческого молока на стадии развития младенца), молочные продукты из сырья животного происхождения и мёд. Веганы не используют мех, кожу, шёлк и шерсть животных, зачастую выступают против вивисекции и использования животных в индустрии развлечений.</p>;NULL
06.07.2018;Снеда́ть;NULL;NULL;<p>мучить, терзать (о чувствах, переживаниях).</p>;«Ты вянешь и молчишь, печаль тебя снедает.» А. С. Пушкин.
07.07.2018;Сибари́т;NULL;NULL;<p>изнеженный, праздный, избалованный роскошью человек.</p><p>Предположительно, слово образовано по названию древнегреческой колонии Сибарис, прославившейся богатством и роскошью.</p>;NULL
08.07.2018;Мириа́ды;NULL;NULL;<p>бесчисленное количество, несметное множество (например, <i>мириады насекомых, мириады звезд</i>).</p>;NULL
09.07.2018;Казуа́льный;NULL;NULL;<p>обусловленный каким-либо случаем, не поддающийся обобщению, случайный.</p><p>Казуальность — учение о случайности, теория о том, что в мире господствует случай.</p>;Казуальная игра — это игра, в которую играют от случая к случаю, между делом, чаще всего — чтобы как-то «убить» время.
10.07.2018;Визави́;NULL;от фр. vis-à-vis — «друг против друга»;<p>тот, кто находится напротив, стоит или сидит лицом к лицу с кем-нибудь. Например, <i>попросите своего визави подвинуться</i>.</p><p>Также употребляется как наречие в значении «друг напротив друга». Например, <i>мы танцевали визави как на настоящем балу.</i></p>;NULL
11.07.2018;Мовето́н;NULL;NULL;<p>дурной тон, невоспитанность, манеры, поступки, не принятые в хорошем обществе.</p><p>Антагонистом моветона выступает <b>комильфо*</b> – соответствие правилам светского приличия.</p>;Разговаривать по телефону во время спектакля считается моветоном.
12.07.2018;Мефисто́фель;NULL;NULL;<p>дьявол, выступающий в образе злого духа (в художественной литературе и в фольклоре народов Европы).</p><p>Мефистофельский — язвительный, злобно-насмешливый. Встречаются в выражениях «мефистофелевский смех», «мефистофелевская улыбка».</p>;В философской трагедии И. В. Гёте, переосмыслившего мотивы немецкой народной легенды, Мефистофель — компаньон Фауста. Мефистофель — чёрт у Ф. М. Достоевского («Братья Карамазовы») и Т. Манна («Доктор Фаустус») — воплощение морального нигилизма. Мефистофель — Воланд и его свита у М. Булгакова («Мастер и Маргарита») — гротескные духи зла, обличители, наказывающие пороки.
13.07.2018;Вы́чурный;NULL;NULL;<p>излишне затейливый, нарочито усложнённый, замысловатый.</p><p>Примером вычурности в речи может служит чрезвычайно запутанная речь с использованием, например, различных терминов.</p>;NULL
14.07.2018;Хедха́нтинг;NULL;от англ. headhunting — «охота за головами»;<p>поиск и подбор ключевых и редких специалистов.</p><p>Главные бухгалтеры, юристы, руководители предприятий и специалисты узких профилей наиболее часто становятся объектом внимания хедхантеров.</p><p>Этот метод подбора персонала отличается проведением индивидуальной работы с клиентом, минимальным количеством рекомендуемых кандидатов. Это «качественный поиск», учитывающий особенности бизнеса заказчика, рабочей среды, деловых и личных качеств кандидата, организуемый прямым путем — без объявления вакансии в СМИ.</p>;NULL
15.07.2018;Коло́сс;NULL;NULL;<p>исполинская, громадных размеров статуя, колонна. В переносном значении — кто-либо или что-либо, выдающиеся по своей величине, значимости или иным качествам.</p><p>Колосс на глиняных ногах — крылатое выражение, которым характеризуется что-либо величественное с виду, но по существу слабое.</p>;Колосс Родосский — гигантская статуя древнегреческого бога Солнца Гелиоса, которая стояла в портовом городе Родосе и являлась одним из «семи чудес света».
16.07.2018;Прерогати́ва;NULL;NULL;<p>исключительное право, привилегия государственного органа или должностного лица.</p><p>Например, прерогатива Государственной думы и Федерального собрания — принимать российские законы.</p>;NULL
17.07.2018;Преа́мбула;NULL;NULL;<p>вводная, разъясняющая часть закона или иного правового акта, а также предисловие к какому-нибудь сочинению.</p>;Преамбула Конституции Российской Федерации:<br/>Мы, многонациональный народ Российской Федерации, соединенные общей судьбой на своей земле, утверждая права и свободы человека, гражданский мир и согласие, сохраняя исторически сложившееся государственное единство, исходя из общепризнанных принципов равноправия и самоопределения народов, чтя память предков, передавших нам любовь и уважение к Отечеству, веру в добро и справедливость, возрождая суверенную государственность России и утверждая незыблемость ее демократической основы, стремясь обеспечить благополучие и процветание России, исходя из ответственности за свою Родину перед нынешним и будущими поколениями, сознавая себя частью мирового сообщества, принимаем КОНСТИТУЦИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ.
18.07.2018;Перфекциони́зм;NULL;NULL;<p>чрезмерное стремление к совершенству в действиях, делах, поведении.</p><p>В патологической форме — убеждение, что несовершенный результат работы неприемлем. Перфекционизм может быть причиной психических расстройств из-за конфликта перфекциониста с окружающей действительностью с её несовершенствами.</p>;Перфекционизм в философии — убеждённость в том, что совершенствование, как собственное, так и других людей, является той целью, к которой должен стремиться человек.
